id,sex,bw_6,bw_12,bw_18,bw_24,dead,age(days),target
JL06470,0,36,39,47,49,1,844,304
JL06585,0,33,36,41,66,1,975,435
JL06586,0,34,51,53,0,1,721,181
JL06587,0,28,33,35,0,1,609,69
JL06588,0,31,43,41,35,1,969,429
JL07009,0,37,43,33,40,1,898,358
JL07010,0,44,35,44,44,1,1170,630
JL07011,0,40,34,40,29,1,900,360
JL07012,0,39,36,38,43,1,1015,475
JL07033,0,38,40,42,41,1,800,260
JL07034,0,42,44,52,53,1,785,245
JL07035,0,47,49,45,46,1,751,211
JL07036,0,55,58,61,0,1,673,133
JL07103,0,27,31,37,37,1,1087,547
JL07104,0,45,61,68,56,1,805,265
JL07105,0,31,36,38,41,1,1106,566
JL07106,0,40,50,58,62,1,861,321
JL07107,0,36,39,43,48,1,958,418
JL07108,0,25,29,37,42,1,1017,477
JL07109,0,28,37,39,43,1,896,356
JL07110,0,26,30,30,0,1,702,162
JL07111,0,24,27,30,40,1,888,348
JL07112,0,27,28,28,30,1,888,348
JL07113,0,26,28,34,36,1,910,370
JL07114,0,27,27,29,30,1,1057,517
JL07178,0,41,44,47,45,1,775,235
JL07179,0,40,44,48,40,1,978,438
JL07180,0,32,34,37,38,1,746,206
JL07181,0,28,30,34,38,1,875,335
JL07186,0,29,32,37,38,1,1120,580
JL07187,0,30,33,37,42,1,935,395
JL07188,0,40,44,30,34,1,861,321
JL07189,0,53,57,44,34,1,1006,466
JL07244,0,41,42,47,46,1,757,217
JL07245,0,41,39,51,39,1,1085,545
JL07246,0,28,28,28,34,1,798,258
JL07292,0,41,42,43,43,1,788,248
JL07293,0,26,38,39,38,1,892,352
JL07294,0,28,38,46,48,1,832,292
JL07295,0,24,30,38,35,1,1040,500
JL07419,0,50,53,53,0,1,1249,709
JL07420,0,24,32,34,30,1,818,278
JL07421,0,30,39,43,42,1,725,185
JL07422,0,27,39,41,0,1,886,346
JL07443,0,45,49,48,39,1,917,377
JL07444,0,28,46,44,46,1,798,258
JL07445,0,30,33,42,41,1,735,195
JL07446,0,24,29,34,19,1,742,202
JL07451,0,31,34,35,36,1,708,168
JL07452,0,38,51,50,0,1,819,279
JL07453,0,28,30,36,34,1,805,265
